MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",66.096646,175.804082,66.094324,30.078019,0.000000,3.825334,0.002322,67.690965,92.771320,96.927366,3.401023,66.094324,10.116364,19.724276,0.237380,66.094324,10.116364,19.654218,0.307438,4,5
"The Beatles/01_-_Please_Please_Me/02_-_Misery",46.778420,110.184490,46.778420,49.194685,0.000000,4.026895,0.000000,35.914673,75.368789,95.659404,20.604316,46.778420,36.502763,6.648880,6.043043,46.778420,0.000000,6.738832,42.455853,4,5
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",40.873928,177.580408,40.873928,57.009626,0.000000,2.116446,0.000000,58.817140,69.493225,0.000000,28.390328,40.873928,46.416432,8.001829,2.591365,40.873928,14.183012,5.919231,36.907382,7,6
"The Beatles/01_-_Please_Please_Me/04_-_Chains",61.549380,146.494694,61.549380,33.548608,0.000000,4.902012,0.000000,65.077734,94.578247,0.000000,0.519740,61.549380,0.769500,31.276117,1.502990,61.549380,0.519740,31.458845,1.570023,4,4
"The Beatles/01_-_Please_Please_Me/05_-_Boys",55.800507,147.513469,55.791377,40.755693,0.000000,3.443799,0.009131,57.786711,96.547070,-nan,0.000000,55.791377,0.000000,40.236158,0.519536,55.791377,0.000000,40.455347,0.300346,3,3
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",52.566819,140.576508,52.566819,44.395389,0.000000,3.037791,0.000000,56.962142,60.709932,49.611068,36.252276,52.566819,19.092538,14.215553,6.107804,52.566819,2.345915,15.381273,26.668200,9,12
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",49.061042,123.376327,49.061042,47.354490,0.000000,3.584467,0.000000,52.832089,88.106312,30.239147,8.309221,49.061042,11.296533,35.636482,0.421476,49.061042,1.215792,35.636482,10.502217,7,4
"The Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",52.367609,142.759184,52.367609,44.434453,0.000000,3.197939,0.000000,54.097617,96.802061,-nan,0.000000,52.367609,0.000000,42.011300,1.925962,52.367609,0.000000,43.937262,0.497190,3,4
"The Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",71.083729,125.753469,71.041210,25.413060,0.000000,3.503211,0.042519,75.646280,85.200057,58.560611,11.254214,71.041210,6.284828,13.209770,5.918463,71.041210,3.578430,17.712528,4.122102,8,8
"The Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",75.251054,158.066939,75.251054,20.755169,0.000000,3.993777,0.000000,79.937944,62.214002,75.515782,33.792221,75.251054,13.230175,5.245950,2.279045,75.251054,0.000000,6.361888,14.393282,5,6
