4TriadsOutput
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)","aug correct (%)","aug proportion (%)","dim correct (%)","dim proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",72.786546,175.804082,72.786546,23.385798,0.000000,3.827656,0.000000,74.842062,92.771320,98.634352,3.401023,nan,0.000000,nan,0.000000,72.786546,4.961765,18.285627,0.138406,72.786546,4.961765,18.188909,0.235124,4,5
"The Beatles/01_-_Please_Please_Me/02_-_Misery",59.378648,110.184490,59.378648,36.594456,0.000000,4.000131,0.026764,52.615914,75.368789,95.721071,20.604316,nan,0.000000,nan,0.000000,59.378648,23.643009,8.577397,4.374050,59.378648,0.000000,8.693283,27.901173,4,5
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",44.722118,177.580408,44.722118,53.161436,0.000000,2.116446,0.000000,64.354644,69.493225,0.000000,28.390328,nan,0.000000,nan,0.000000,44.722118,43.079256,8.626543,1.455637,44.722118,14.554787,5.984198,32.622451,7,7
"The Beatles/01_-_Please_Please_Me/04_-_Chains",61.539900,146.494694,61.539900,33.558088,0.000000,4.885838,0.016174,65.067710,94.578247,0.000000,0.519740,nan,0.000000,nan,0.000000,61.539900,0.781105,31.341572,1.435411,61.539900,0.519740,31.453307,1.585040,4,4
"The Beatles/01_-_Please_Please_Me/05_-_Boys",51.656502,147.513469,51.656502,44.890568,0.000000,3.439054,0.013876,53.503956,96.547070,nan,0.000000,nan,0.000000,nan,0.000000,51.656502,2.290301,42.077341,0.522925,51.656502,2.290301,38.189450,4.410816,3,4
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",50.032011,147.774694,50.032011,46.838159,0.000000,3.128007,0.001823,57.141092,57.512707,49.783736,34.486408,0.000000,4.871055,nan,0.000000,50.032011,28.769354,13.488226,4.580579,50.032011,7.005806,14.465480,25.366873,10,12
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",49.800251,123.376327,49.800251,46.615281,0.000000,3.558265,0.026202,53.709762,88.106312,29.829045,8.309221,nan,0.000000,nan,0.000000,49.800251,12.734710,33.410392,0.470180,49.800251,2.644208,31.688312,12.282762,7,7
"The Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",52.298089,142.759184,52.298089,44.503973,0.000000,3.195708,0.002230,54.025801,96.802061,nan,0.000000,nan,0.000000,nan,0.000000,52.298089,0.000000,42.586944,1.917028,52.298089,0.000000,43.957748,0.546224,3,4
"The Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",69.354085,125.753469,69.354085,27.100185,0.000000,3.545730,0.000000,73.703105,85.200057,58.280372,11.254214,nan,0.000000,nan,0.000000,69.354085,8.507741,12.622797,5.969647,69.354085,3.614992,15.769279,7.715914,8,8
"The Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",79.131518,158.066939,79.131518,16.874705,0.000000,3.993777,0.000000,86.054220,62.214002,75.738568,33.792221,nan,0.000000,nan,0.000000,79.131518,12.133299,2.510402,2.231004,79.131518,0.000000,3.528847,13.345858,5,6
