MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/mono",66.094324,175.804082,66.094324,30.078019,0.000000,3.825334,0.002322,67.690965,92.771320,96.927366,3.401023,66.094324,10.116364,19.724276,0.237380,66.094324,10.116364,19.654218,0.307438,4,5
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/left",66.094324,175.804082,66.094324,30.078019,0.000000,3.825334,0.002322,67.690965,92.771320,96.927366,3.401023,66.094324,10.116364,19.724276,0.237380,66.094324,10.116364,19.654218,0.307438,4,5
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/right",66.094324,175.804082,66.094324,30.078019,0.000000,3.825334,0.002322,67.690965,92.771320,96.927366,3.401023,66.094324,10.116364,19.724276,0.237380,66.094324,10.116364,19.654218,0.307438,4,5
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/hard_left",78.868551,175.804082,78.868551,17.303793,0.000000,3.825334,0.002322,81.352523,92.771320,99.874096,3.401023,78.868551,6.906940,8.589054,0.783932,78.868551,3.377811,9.092426,4.833556,4,10
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/centre",66.094324,175.804082,66.094324,30.078019,0.000000,3.825334,0.002322,67.690965,92.771320,96.927366,3.401023,66.094324,10.116364,19.724276,0.237380,66.094324,10.116364,19.654218,0.307438,4,5
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/hard_right",69.208513,175.804082,69.208513,26.963831,0.000000,3.825334,0.002322,72.992134,92.771320,43.891093,3.401023,69.208513,6.462824,14.261200,2.371865,69.208513,5.259824,14.432540,7.271466,4,14
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/sides",65.867023,175.804082,65.867023,30.305321,0.000000,3.825334,0.002322,69.390277,92.771320,43.891093,3.401023,65.867023,6.860994,16.465060,2.542509,65.867023,5.316706,16.295111,8.693503,4,18
"The Beatles/01_-_Please_Please_Me/02_-_Misery/mono",46.778420,110.184490,46.778420,49.194685,0.000000,4.026895,0.000000,35.914673,75.368789,95.659404,20.604316,46.778420,36.502763,6.648880,6.043043,46.778420,0.000000,6.738832,42.455853,4,5
"The Beatles/01_-_Please_Please_Me/02_-_Misery/left",46.778420,110.184490,46.778420,49.194685,0.000000,4.026895,0.000000,35.914673,75.368789,95.659404,20.604316,46.778420,36.502763,6.648880,6.043043,46.778420,0.000000,6.738832,42.455853,4,5
"The Beatles/01_-_Please_Please_Me/02_-_Misery/right",46.778420,110.184490,46.778420,49.194685,0.000000,4.026895,0.000000,35.914673,75.368789,95.659404,20.604316,46.778420,36.502763,6.648880,6.043043,46.778420,0.000000,6.738832,42.455853,4,5
"The Beatles/01_-_Please_Please_Me/02_-_Misery/hard_left",74.724060,110.184490,74.724060,21.249045,0.000000,4.026895,0.000000,79.948497,75.368789,70.217551,20.604316,74.724060,17.488976,2.968159,0.338126,74.724060,6.146072,2.750384,12.352589,4,9
"The Beatles/01_-_Please_Please_Me/02_-_Misery/centre",46.778420,110.184490,46.778420,49.194685,0.000000,4.026895,0.000000,35.914673,75.368789,95.659404,20.604316,46.778420,36.502763,6.648880,6.043043,46.778420,0.000000,6.738832,42.455853,4,5
"The Beatles/01_-_Please_Please_Me/02_-_Misery/hard_right",52.901776,110.184490,52.901776,43.071329,0.000000,4.026895,0.000000,54.096774,75.368789,58.869670,20.604316,52.901776,20.279913,14.885903,7.270215,52.901776,7.111922,11.203211,24.756196,4,17
"The Beatles/01_-_Please_Please_Me/02_-_Misery/sides",51.712311,110.184490,51.712311,44.260794,0.000000,4.026895,0.000000,52.856131,75.368789,57.634940,20.604316,51.712311,20.108025,15.295194,7.405464,51.712311,6.580676,11.430076,26.250042,4,19
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/mono",40.873928,177.580408,40.873928,57.009626,0.000000,2.116446,0.000000,58.817140,69.493225,0.000000,28.390328,40.873928,46.416432,8.001829,2.591365,40.873928,14.183012,5.919231,36.907382,7,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/left",40.873928,177.580408,40.873928,57.009626,0.000000,2.116446,0.000000,58.817140,69.493225,0.000000,28.390328,40.873928,46.416432,8.001829,2.591365,40.873928,14.183012,5.919231,36.907382,7,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/right",40.873928,177.580408,40.873928,57.009626,0.000000,2.116446,0.000000,58.817140,69.493225,0.000000,28.390328,40.873928,46.360119,8.058141,2.591365,40.873928,14.126700,5.975544,36.907382,7,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/hard_left",12.112403,177.580408,12.112403,85.771151,0.000000,2.116446,0.000000,17.429616,69.493225,0.000000,28.390328,12.112403,36.655579,18.615181,5.779196,12.112403,32.758190,17.429556,35.583405,7,30
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/centre",40.873928,177.580408,40.873928,57.009626,0.000000,2.116446,0.000000,58.817140,69.493225,0.000000,28.390328,40.873928,46.416432,8.001829,2.591365,40.873928,14.183012,5.919231,36.907382,7,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/hard_right",24.865387,177.580408,24.865387,73.018167,0.000000,2.116446,0.000000,29.630065,69.493225,15.056183,28.390328,24.865387,14.976011,25.577464,14.050498,24.865387,12.710448,24.948385,35.359334,7,31
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/sides",22.523192,177.580408,22.523192,75.360361,0.000000,2.116446,0.000000,28.616502,69.493225,9.287184,28.390328,22.523192,16.374537,25.068002,13.768936,22.523192,14.104199,25.245981,36.010181,7,31
"The Beatles/01_-_Please_Please_Me/04_-_Chains/mono",61.549380,146.494694,61.549380,33.548608,0.000000,4.902012,0.000000,65.077734,94.578247,0.000000,0.519740,61.549380,0.769500,31.276117,1.502990,61.549380,0.519740,31.458845,1.570023,4,4
"The Beatles/01_-_Please_Please_Me/04_-_Chains/left",61.549380,146.494694,61.549380,33.548608,0.000000,4.902012,0.000000,65.077734,94.578247,0.000000,0.519740,61.549380,0.769500,31.276117,1.502990,61.549380,0.519740,31.458845,1.570023,4,4
"The Beatles/01_-_Please_Please_Me/04_-_Chains/right",61.549380,146.494694,61.549380,33.548608,0.000000,4.902012,0.000000,65.077734,94.578247,0.000000,0.519740,61.549380,0.769500,31.276117,1.502990,61.549380,0.519740,31.458845,1.570023,4,4
"The Beatles/01_-_Please_Please_Me/04_-_Chains/hard_left",68.191976,146.494694,68.191976,26.906011,0.000000,4.902012,0.000000,72.101121,94.578247,0.000000,0.519740,68.191976,7.972435,11.170833,2.165271,68.191976,5.310222,9.662116,11.933673,4,18
"The Beatles/01_-_Please_Please_Me/04_-_Chains/centre",61.549380,146.494694,61.549380,33.548608,0.000000,4.902012,0.000000,65.077734,94.578247,0.000000,0.519740,61.549380,0.769500,31.276117,1.502990,61.549380,0.519740,31.458845,1.570023,4,4
"The Beatles/01_-_Please_Please_Me/04_-_Chains/hard_right",42.830060,146.494694,42.830060,52.267928,0.000000,4.902012,0.000000,45.285318,94.578247,0.000000,0.519740,42.830060,15.346855,23.050999,6.839103,42.830060,9.162485,12.907009,30.198433,4,22
"The Beatles/01_-_Please_Please_Me/04_-_Chains/sides",45.185506,146.494694,45.185506,49.912481,0.000000,4.902012,0.000000,47.775791,94.578247,0.000000,0.519740,45.185506,14.385397,23.114408,4.972134,45.185506,8.132766,12.531338,29.248377,4,22
"The Beatles/01_-_Please_Please_Me/05_-_Boys/mono",55.791377,147.513469,55.791377,40.755693,0.000000,3.443799,0.009131,57.786711,96.547070,-nan,0.000000,55.791377,0.000000,40.236158,0.519536,55.791377,0.000000,40.455347,0.300346,3,3
"The Beatles/01_-_Please_Please_Me/05_-_Boys/left",55.791377,147.513469,55.791377,40.755693,0.000000,3.443799,0.009131,57.786711,96.547070,-nan,0.000000,55.791377,0.000000,40.236158,0.519536,55.791377,0.000000,40.455347,0.300346,3,3
"The Beatles/01_-_Please_Please_Me/05_-_Boys/right",55.791377,147.513469,55.791377,40.755693,0.000000,3.443799,0.009131,57.786711,96.547070,-nan,0.000000,55.791377,0.000000,40.236158,0.519536,55.791377,0.000000,40.455347,0.300346,3,3
"The Beatles/01_-_Please_Please_Me/05_-_Boys/hard_left",46.798593,147.513469,46.798593,49.748477,0.000000,3.443799,0.009131,48.472308,96.547070,-nan,0.000000,46.798593,8.976153,17.384168,2.983239,46.798593,11.506511,13.722579,24.519387,3,15
"The Beatles/01_-_Please_Please_Me/05_-_Boys/centre",55.791377,147.513469,55.791377,40.755693,0.000000,3.443799,0.009131,57.786711,96.547070,-nan,0.000000,55.791377,0.000000,40.236158,0.519536,55.791377,0.000000,40.455347,0.300346,3,3
"The Beatles/01_-_Please_Please_Me/05_-_Boys/hard_right",28.662745,147.513469,28.662745,67.884325,0.000000,3.443799,0.009131,29.687846,96.547070,-nan,0.000000,28.662745,12.921795,25.767083,18.348979,28.662745,12.299520,30.870755,24.714049,3,23
"The Beatles/01_-_Please_Please_Me/05_-_Boys/sides",27.824795,147.513469,27.824795,68.722275,0.000000,3.443799,0.009131,28.819927,96.547070,-nan,0.000000,27.824795,12.921795,26.703671,18.521503,27.824795,13.113005,31.776496,23.832774,3,25
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/mono",52.566819,140.576508,52.566819,44.395389,0.000000,3.037791,0.000000,56.962142,60.709932,49.611068,36.252276,52.566819,19.092538,14.215553,6.107804,52.566819,2.345915,15.381273,26.668200,9,12
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/left",52.637955,140.576508,52.637955,44.324254,0.000000,3.037791,0.000000,56.962142,60.709932,49.807292,36.252276,52.637955,19.092538,14.144417,6.107804,52.637955,2.345915,15.381273,26.597065,9,12
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/right",52.566819,140.576508,52.566819,44.395389,0.000000,3.037791,0.000000,56.962142,60.709932,49.611068,36.252276,52.566819,19.092538,14.215553,6.107804,52.566819,2.345915,15.381273,26.668200,9,12
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/hard_left",54.482593,140.576508,54.482593,42.479615,0.000000,3.037791,0.000000,45.362608,60.709932,74.320808,36.252276,54.482593,22.618576,10.715319,2.172142,54.482593,9.552492,8.956257,23.970866,9,17
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/centre",52.637955,140.576508,52.637955,44.324254,0.000000,3.037791,0.000000,56.962142,60.709932,49.807292,36.252276,52.637955,19.021402,14.215553,6.107804,52.637955,2.345915,15.381273,26.597065,9,12
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/hard_right",45.358610,140.576508,45.358610,51.603599,0.000000,3.037791,0.000000,52.201851,60.709932,37.699430,36.252276,45.358610,26.502454,15.030386,6.122225,45.358610,1.375723,13.280245,36.947631,9,20
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why/sides",42.797727,140.576508,42.797727,54.164482,0.000000,3.037791,0.000000,51.147294,60.709932,32.401384,36.252276,42.797727,28.545391,14.501293,7.098128,42.797727,1.213455,13.564788,39.386239,9,22
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me/mono",49.061042,123.376327,49.061042,47.354490,0.000000,3.584467,0.000000,52.832089,88.106312,30.239147,8.309221,49.061042,11.296533,35.636482,0.421476,49.061042,1.215792,35.636482,10.502217,7,4
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me/left",49.061042,123.376327,49.061042,47.354490,0.000000,3.584467,0.000000,52.832089,88.106312,30.239147,8.309221,49.061042,11.296533,35.636482,0.421476,49.061042,1.215792,35.636482,10.502217,7,4
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me/right",49.061042,123.376327,49.061042,47.354490,0.000000,3.584467,0.000000,52.832089,88.106312,30.239147,8.309221,49.061042,11.296533,35.636482,0.421476,49.061042,1.215792,35.636482,10.502217,7,4
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me/hard_left",60.143890,123.376327,60.143890,36.271643,0.000000,3.584467,0.000000,65.334340,88.106312,31.052404,8.309221,60.143890,12.496667,14.848670,2.523132,60.143890,7.418607,12.211219,16.641817,7,20
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me/centre",49.061042,123.376327,49.061042,47.354490,0.000000,3.584467,0.000000,52.832089,88.106312,30.239147,8.309221,49.061042,11.296533,35.636482,0.421476,49.061042,1.215792,35.636482,10.502217,7,4
