4TriadsOutput
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)","aug correct (%)","aug proportion (%)","dim correct (%)","dim proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",28.582907,206.599000,28.582907,68.944671,0.000000,2.472422,0.000000,20.549098,62.128084,50.780133,31.146327,nan,0.000000,0.000000,4.253167,28.582907,29.624538,29.655516,9.664616,28.582907,5.215417,7.863542,55.865711,16,12
"N002-M01-T02",15.761263,209.704000,15.761263,76.945600,0.000000,7.293137,0.000000,5.496955,60.126655,38.232195,32.580208,nan,0.000000,nan,0.000000,15.761263,55.104814,17.522317,4.318468,15.761263,0.000000,20.960497,55.985103,6,5
"N003-M01-T03",31.513747,192.846000,31.513747,64.136669,0.000000,4.331954,0.017631,38.237494,54.070087,26.249231,41.291497,0.000000,0.288832,nan,0.000000,31.513747,19.161403,28.687139,16.288126,31.513747,0.511807,39.584954,24.039907,21,17
"N004-M01-T04",28.984463,231.700000,28.984463,68.711265,0.000000,2.304273,0.000000,18.631528,26.776003,44.387849,54.059128,0.000000,6.025032,0.000000,10.835563,28.984463,26.456625,26.116098,16.138541,28.984463,3.610703,20.637462,44.463099,16,7
"N005-M01-T05",58.046861,213.953000,58.046861,39.313307,0.000000,2.639832,0.000000,42.545345,46.384019,78.655134,47.661402,nan,0.000000,24.873096,3.314747,58.046861,19.833328,16.119895,3.360084,58.046861,7.249723,4.084542,27.979042,11,11
"N006-M01-T06",2.315404,206.573000,2.315404,93.493341,0.000000,4.187382,0.003873,2.570193,90.086797,0.000000,5.721948,nan,0.000000,nan,0.000000,2.315404,22.959438,59.355773,11.178131,2.315404,19.436712,6.139718,67.916911,7,4
"N007-M01-T07",54.156311,288.886000,54.156311,43.274856,0.000000,2.568833,0.000000,53.505648,37.324758,58.189907,58.748087,nan,0.000000,0.000000,1.358321,54.156311,19.856968,15.292191,8.125697,54.156311,11.951773,17.413097,13.909985,15,12
"N008-M01-T08",62.899171,178.996000,62.899171,34.009699,0.000000,3.080516,0.010615,72.971128,71.208295,42.558094,25.700574,nan,0.000000,nan,0.000000,62.899171,12.035464,17.532235,4.441999,62.899171,5.586158,13.354488,15.069052,8,8
"N009-M01-T09",50.516670,276.192000,50.516670,43.635225,0.000000,5.848106,0.000000,69.552346,45.252940,41.501523,45.164234,nan,0.000000,7.988366,3.734721,50.516670,32.941215,9.018726,1.675284,50.516670,25.094137,5.559900,12.981187,17,14
"N010-M01-T10",50.816314,211.867000,50.816314,41.756857,0.000000,7.414557,0.012272,57.208552,62.916830,49.980901,29.656341,nan,0.000000,nan,0.000000,50.816314,10.642054,20.209377,10.905427,50.816314,0.000000,22.187976,19.568880,8,5
"N011-M01-T11",23.016165,263.971000,23.016165,74.477878,0.000000,2.505957,0.000000,19.715447,66.166359,31.828625,31.327684,nan,0.000000,nan,0.000000,23.016165,22.765380,28.627387,23.085112,23.016165,1.464555,37.663607,35.349716,9,7
"N012-M01-T12",52.187517,204.867000,52.187517,46.181669,0.000000,1.630814,0.000000,60.625123,54.471438,49.766764,38.507910,nan,0.000000,0.000000,5.389838,52.187517,10.971508,30.148828,5.061332,52.187517,3.938165,13.128518,29.114987,14,12
"N013-M01-T13",41.930276,215.565000,41.930276,55.430149,0.000000,2.639575,0.000000,48.399519,71.433210,28.375380,25.927215,nan,0.000000,nan,0.000000,41.930276,15.834667,30.267901,9.327581,41.930276,2.128360,29.998840,23.302948,8,9
"N014-M01-T14",35.344141,234.947000,35.344141,59.816895,0.000000,4.838964,0.000000,44.607653,63.690109,22.031377,31.470927,nan,0.000000,nan,0.000000,35.344141,27.426185,24.514039,7.876670,35.344141,1.156431,23.193316,35.467148,6,7
"N015-M01-T15",36.007072,162.893000,36.007072,58.841694,0.000000,5.151234,0.000000,30.891045,77.067768,68.612761,17.780997,nan,0.000000,nan,0.000000,36.007072,11.296372,30.491181,17.054140,36.007072,0.000000,36.227462,22.614231,10,6
"N016-M01-T16",38.552415,262.147000,38.552415,56.973378,0.000000,4.458949,0.015259,17.508560,48.572747,63.995905,46.953045,nan,0.000000,nan,0.000000,38.552415,17.357055,30.489763,9.126559,38.552415,3.710514,13.038486,40.224378,11,7
"N017-M02-T01",42.946488,241.440000,42.946488,54.577949,0.000000,2.456925,0.018638,54.533174,48.748757,33.545905,48.775679,nan,0.000000,nan,0.000000,42.946488,18.882124,30.934394,4.761431,42.946488,1.509692,28.155235,24.913022,12,8
"N018-M02-T02",40.908038,250.430000,40.908038,56.769556,0.000000,2.322405,0.000000,42.149153,74.795751,41.803366,22.443797,nan,0.000000,0.000000,0.438047,40.908038,16.776345,29.863036,10.130176,40.908038,2.044883,30.115002,24.609671,17,12
"N019-M02-T03",24.372802,287.230000,24.372802,73.169934,0.000000,2.457264,0.000000,17.716718,56.917453,35.172426,40.625283,nan,0.000000,nan,0.000000,24.372802,28.129722,34.091146,10.949065,24.372802,3.474916,23.912196,45.782822,13,9
"N020-M02-T04",48.643097,243.901000,48.643097,49.320011,0.000000,2.027872,0.009020,51.698183,59.538091,55.994921,31.323365,0.000000,0.371052,4.806287,6.730600,48.643097,19.672736,18.352528,11.294747,48.643097,1.199257,19.646906,28.473848,15,10
"N021-M02-T05",35.606005,257.993000,35.606005,59.973333,0.000000,4.420663,0.000000,41.611940,63.625757,28.572988,31.953580,nan,0.000000,nan,0.000000,35.606005,13.801537,34.530782,11.641014,35.606005,0.472493,35.408713,24.092127,7,5
"N022-M02-T06",52.911417,209.520000,52.911417,42.196926,0.000000,4.891657,0.000000,56.988221,85.495418,43.577777,9.612925,nan,0.000000,nan,0.000000,52.911417,19.454945,12.351088,10.390893,52.911417,6.483868,16.863307,18.849752,16,15
"N023-M02-T07",59.524721,201.187000,59.524721,38.145109,0.000000,2.325697,0.004473,56.171468,86.789902,99.022340,10.879928,nan,0.000000,nan,0.000000,59.524721,12.812955,22.493998,2.838156,59.524721,1.673070,2.385343,34.086695,11,12
"N024-M02-T08",8.308141,207.736000,8.308141,89.731197,0.000000,1.960662,0.000000,10.009395,83.003427,0.000000,15.035911,nan,0.000000,nan,0.000000,8.308141,53.414430,22.356741,13.960026,8.308141,31.871221,14.410598,43.449378,8,6
"N025-M02-T09",8.029034,250.055000,8.029034,90.043790,0.000000,1.916778,0.010398,10.605041,21.388894,8.320049,69.239167,0.000000,7.210814,0.000000,0.233949,8.029034,32.188918,43.820759,14.034112,8.029034,8.511328,19.786047,61.746416,15,9
"N026-M02-T10",37.950661,199.762000,37.950661,59.378661,0.000000,2.658664,0.012014,40.756750,91.261601,12.449468,6.067721,nan,0.000000,nan,0.000000,37.950661,3.016089,51.805649,4.556923,37.950661,1.499284,51.009201,6.870176,6,5
"N027-M02-T11",32.495397,310.684000,32.495397,59.917472,0.000000,7.587130,0.000000,38.740906,61.276088,35.156300,24.907301,0.000000,4.985130,0.000000,1.244351,32.495397,36.843867,14.029046,9.044560,32.495397,6.812066,10.574088,42.531318,12,9
