MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",28.880452,197.812000,28.880452,68.537298,0.000000,2.575678,0.006572,20.503911,64.887873,47.881830,32.529877,28.880452,21.593230,22.519867,6.431359,28.880452,5.447091,7.101187,55.989020,15,11
"N002-M01-T02",15.497558,209.704000,15.497558,77.209305,0.000000,7.289799,0.003338,5.059165,60.126655,38.230731,32.580208,15.497558,53.450101,15.207626,6.644127,15.497558,0.000000,18.805078,58.404227,6,5
"N003-M01-T03",29.449422,192.289000,29.449422,66.188394,0.000000,4.362184,0.000000,36.144890,54.226711,23.784049,41.411105,29.449422,20.114515,29.779135,16.294744,29.449422,0.513290,40.738680,24.936424,20,16
"N004-M01-T04",32.117902,192.634000,32.117902,65.110520,0.000000,2.767943,0.003634,18.644423,32.206153,40.160473,65.022270,32.117902,15.829501,32.683742,14.840059,32.117902,1.088593,27.520583,36.501345,12,7
"N005-M01-T05",55.781902,206.861000,55.781902,41.487762,0.000000,2.726952,0.003384,35.442362,47.974244,78.665921,49.295421,55.781902,19.544525,18.128115,3.815122,55.781902,7.448480,5.402662,28.636621,10,10
"N006-M01-T06",2.322182,206.573000,2.322182,93.486564,0.000000,4.191254,0.000000,2.577716,90.086797,0.000000,5.721948,2.322182,21.516365,60.787712,11.182488,2.322182,19.436712,5.885571,68.164281,7,4
"N007-M01-T07",52.371895,284.962000,52.371895,45.023898,0.000000,2.604207,0.000000,45.440803,37.838729,59.065492,59.557064,52.371895,16.103902,13.522505,7.334662,52.371895,10.767401,16.323229,17.933268,14,12
"N008-M01-T08",60.829292,178.996000,60.829292,36.079577,0.000000,3.091131,0.000000,71.692296,71.208295,38.047519,25.700574,60.829292,10.654428,19.728932,4.467139,60.829292,5.534202,14.051711,16.493665,8,8
"N009-M01-T09",51.550529,265.877000,51.550529,42.374481,0.000000,6.059945,0.015045,68.993079,47.008579,40.748757,46.916431,51.550529,33.153676,6.519556,2.025373,51.550529,26.062427,5.415286,10.896768,15,14
"N010-M01-T10",49.110527,211.867000,49.110527,43.462644,0.000000,7.426829,0.000000,54.386347,62.916830,50.216450,29.656341,49.110527,12.070780,20.195689,11.196175,49.110527,0.000000,22.474477,20.988167,8,5
"N011-M01-T11",22.082729,263.971000,22.082729,75.411314,0.000000,2.498381,0.007577,19.849994,66.166359,28.564864,31.327684,22.082729,22.178573,27.906853,24.643995,22.082729,1.664198,37.290081,36.457035,9,7
"N012-M01-T12",55.326196,193.825000,55.326196,42.950084,0.000000,1.723720,0.000000,61.029267,57.574616,49.601977,40.701664,55.326196,10.069392,30.246872,2.312911,55.326196,4.143944,14.690055,24.116084,12,12
"N013-M01-T13",40.494978,215.565000,40.494978,56.865447,0.000000,2.639575,0.000000,45.017372,71.433210,32.157810,25.927215,40.494978,17.897154,30.123629,8.844664,40.494978,1.611115,29.833229,25.421103,8,9
"N014-M01-T14",34.065130,234.947000,34.065130,61.095907,0.000000,4.818959,0.020005,43.741563,63.690109,19.720043,31.470927,34.065130,27.388305,25.019685,8.687917,34.065130,1.156431,24.286754,35.652722,6,7
"N015-M01-T15",38.164316,162.893000,38.164316,56.684449,0.000000,5.151234,0.000000,30.955567,77.067768,80.465405,17.780997,38.164316,11.286550,27.301971,18.095928,38.164316,0.000000,34.072060,22.612390,10,6
"N016-M01-T16",37.531995,262.147000,37.531995,57.993797,0.000000,4.456278,0.017929,16.033676,48.572747,63.348391,46.953045,37.531995,17.509642,30.852155,9.632000,37.531995,3.416785,12.686394,41.890619,11,6
"N017-M02-T01",41.159708,241.440000,41.159708,56.364728,0.000000,2.458996,0.016567,54.489843,48.748757,29.925954,48.775679,41.159708,20.077866,31.109592,5.177270,41.159708,1.990557,28.522614,25.851557,12,8
"N018-M02-T02",39.482138,249.333000,39.482138,58.185238,0.000000,2.329816,0.002807,42.269808,75.124833,34.277479,22.542544,39.482138,14.164190,27.663005,11.424882,39.482138,2.472597,31.372502,24.340139,16,12
"N019-M02-T03",23.676148,287.230000,23.676148,73.866588,0.000000,2.443338,0.013926,16.514154,56.917453,35.142431,40.625283,23.676148,28.432267,34.461581,10.972740,23.676148,3.474916,23.974515,46.417157,13,8
"N020-M02-T04",51.378762,226.580000,51.378762,46.428634,0.000000,2.171860,0.020743,51.660997,64.089505,54.183356,33.717892,51.378762,17.181569,18.942537,9.861418,51.378762,0.107247,18.941654,27.379733,10,10
"N021-M02-T05",33.741613,257.993000,33.741613,61.837724,0.000000,4.420663,0.000000,38.780993,63.625757,28.375264,31.953580,33.741613,14.308140,36.339746,11.189838,33.741613,0.472493,37.235506,24.129724,7,5
"N022-M02-T06",52.011264,209.520000,52.011264,43.097079,0.000000,4.882111,0.009546,55.930888,85.495418,43.617497,9.612925,52.011264,19.408171,13.004486,10.491123,52.011264,6.447595,17.003150,19.646334,16,15
"N023-M02-T07",59.452649,201.187000,59.452649,38.217181,0.000000,2.330170,0.000000,56.163450,86.789902,98.423866,10.879928,59.452649,11.784559,22.557123,2.822250,59.452649,1.672076,2.401746,34.143359,11,12
"N024-M02-T08",7.487388,207.736000,7.487388,90.551951,0.000000,1.960662,0.000000,9.020577,83.003427,0.000000,15.035911,7.487388,53.381696,22.572400,14.597855,7.487388,31.861594,15.062868,43.627489,8,5
"N025-M02-T09",8.677016,231.439000,8.677016,89.240793,0.000000,2.082190,0.000000,10.664872,23.109329,8.304454,74.808481,8.677016,27.685481,18.688294,14.066341,8.677016,8.696028,21.367617,59.177148,11,9
"N026-M02-T10",37.935143,199.762000,37.935143,59.394179,0.000000,2.670678,0.000000,40.739745,91.261601,12.449468,6.067721,37.935143,3.030606,51.775112,4.588460,37.935143,1.509797,50.982669,6.901713,6,5
"N027-M02-T11",34.140665,291.330000,34.140665,57.768167,0.000000,8.077438,0.013730,37.959816,65.346858,35.144670,26.561974,34.140665,32.215357,14.959324,10.180551,34.140665,3.002437,12.014211,42.751519,10,9
"N028-M02-T12",13.676835,217.660000,13.676835,82.801617,0.000000,3.521547,0.000000,0.000000,58.946522,36.440533,37.531931,13.676835,38.251861,33.401636,10.183313,13.676835,15.039971,23.472848,44.288799,10,6
"N029-M02-T13",54.024566,206.954000,54.024566,43.514984,0.000000,2.460450,0.000000,48.221095,52.206771,63.640240,45.332779,54.024566,16.773776,21.162191,5.579018,54.024566,3.128715,16.558269,23.828000,9,6
"N030-M02-T14",1.480126,151.406000,1.480126,94.584759,0.000000,3.935115,0.000000,3.929442,37.667596,0.000000,58.397289,1.480126,36.572527,33.455742,24.556490,1.480126,0.000000,36.187469,58.397289,6,2
"N031-M02-T15",10.896716,250.213000,10.896716,89.074908,0.005196,0.023180,0.000000,9.548371,98.483692,100.000000,1.493128,10.896716,39.425210,41.685684,4.846671,10.896716,39.425210,11.455440,38.194258,3,7
