4TriadsOutput
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)","aug correct (%)","aug proportion (%)","dim correct (%)","dim proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",89.594105,175.804082,89.594105,6.578239,0.000000,3.768453,0.059203,96.575218,92.771320,0.000000,3.401023,nan,0.000000,nan,0.000000,89.594105,3.401023,3.069360,0.107855,89.594105,0.032839,3.177216,3.368184,4,4
"The Beatles/01_-_Please_Please_Me/02_-_Misery",89.136958,110.184490,89.136958,6.836146,0.000000,3.950215,0.076680,93.148194,75.368789,91.885084,20.604316,nan,0.000000,nan,0.000000,89.136958,2.238330,4.119156,0.478660,89.136958,1.034463,4.557016,1.244667,4,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",64.831223,177.580408,64.831223,33.052331,0.000000,2.071167,0.045280,74.416197,69.493225,46.202379,28.390328,nan,0.000000,nan,0.000000,64.831223,24.849692,5.906427,2.296212,64.831223,13.750963,3.870773,15.430595,7,15
"The Beatles/01_-_Please_Please_Me/04_-_Chains",83.814803,146.494694,83.814803,11.283185,0.000000,4.837372,0.064640,88.619535,94.578247,0.000000,0.519740,nan,0.000000,nan,0.000000,83.814803,4.312553,6.255569,0.715062,83.814803,4.312553,5.712067,1.258564,4,6
"The Beatles/01_-_Please_Please_Me/05_-_Boys",74.528215,147.513469,74.528215,22.018855,0.000000,3.443799,0.009131,77.193658,96.547070,nan,0.000000,nan,0.000000,nan,0.000000,74.528215,8.028727,12.163607,1.826521,74.528215,4.950570,9.719605,7.348681,3,13
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",71.569457,147.774694,71.569457,25.300713,0.000000,3.079284,0.050546,75.369166,57.512707,81.836905,34.486408,0.000000,4.871055,nan,0.000000,71.569457,15.507556,6.528336,3.264822,71.569457,7.449480,5.372496,12.478737,10,9
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",83.229878,123.376327,83.229878,13.185655,0.000000,3.522602,0.061865,86.019326,88.106312,89.556189,8.309221,nan,0.000000,nan,0.000000,83.229878,1.610593,10.286137,1.288925,83.229878,0.918812,10.231535,2.035309,7,9
"The Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",87.116244,142.759184,87.116244,9.685817,0.000000,3.156481,0.041457,89.994203,96.802061,nan,0.000000,nan,0.000000,nan,0.000000,87.116244,0.409670,8.767379,0.508768,87.116244,0.409670,9.188627,0.087520,3,5
"The Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.369175,125.753469,92.369175,4.085095,0.000000,3.503211,0.042519,95.544850,85.200057,97.429363,11.254214,nan,0.000000,nan,0.000000,92.369175,0.556645,1.396874,2.131577,92.369175,0.000000,2.832599,1.252497,8,9
"The Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",87.100197,158.066939,87.100197,8.906026,0.000000,3.951428,0.042349,92.945221,62.214002,86.633120,33.792221,nan,0.000000,nan,0.000000,87.100197,5.372111,2.055614,1.478300,87.100197,2.472995,2.725221,3.707809,5,7
