MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",89.594105,175.804082,89.594105,6.578239,0.000000,3.768453,0.059203,96.575218,92.771320,0.000000,3.401023,89.594105,3.401023,3.069360,0.107855,89.594105,0.032839,3.177216,3.368184,4,4
"The Beatles/01_-_Please_Please_Me/02_-_Misery",89.136958,110.184490,89.136958,6.836146,0.000000,3.950215,0.076680,93.148194,75.368789,91.885084,20.604316,89.136958,2.238330,4.119156,0.478660,89.136958,1.034463,4.557016,1.244667,4,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",64.831223,177.580408,64.831223,33.052331,0.000000,2.071167,0.045280,74.416197,69.493225,46.202379,28.390328,64.831223,19.668941,5.255015,2.215561,64.831223,13.750963,3.870773,15.430595,7,15
"The Beatles/01_-_Please_Please_Me/04_-_Chains",83.814803,146.494694,83.814803,11.283185,0.000000,4.837372,0.064640,88.619535,94.578247,0.000000,0.519740,83.814803,4.312553,6.255569,0.715062,83.814803,4.312553,5.712067,1.258564,4,6
"The Beatles/01_-_Please_Please_Me/05_-_Boys",74.528215,147.513469,74.528215,22.018855,0.000000,3.443799,0.009131,77.193658,96.547070,-nan,0.000000,74.528215,6.552097,9.643793,1.823330,74.528215,4.950570,9.719605,7.348681,3,13
"The Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",75.486455,140.576508,75.486455,21.475754,0.000000,2.984657,0.053134,75.471528,60.709932,81.836905,36.252276,75.486455,11.322489,6.721270,3.431996,75.486455,2.851801,5.647594,12.976359,9,9
"The Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",83.229878,123.376327,83.229878,13.185655,0.000000,3.522602,0.061865,86.019326,88.106312,89.556189,8.309221,83.229878,1.610593,9.637714,1.288925,83.229878,0.918812,10.231535,2.035309,7,9
"The Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",87.116244,142.759184,87.116244,9.685817,0.000000,3.156481,0.041457,89.994203,96.802061,-nan,0.000000,87.116244,0.409670,8.767379,0.508768,87.116244,0.409670,9.188627,0.087520,3,5
"The Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.369175,125.753469,92.369175,4.085095,0.000000,3.503211,0.042519,95.544850,85.200057,97.429363,11.254214,92.369175,0.000000,1.396874,2.131577,92.369175,0.000000,2.832599,1.252497,8,9
"The Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",87.100197,158.066939,87.100197,8.906026,0.000000,3.951428,0.042349,92.945221,62.214002,86.633120,33.792221,87.100197,5.372111,2.055614,1.478300,87.100197,2.472995,2.725221,3.707809,5,7
"The Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",60.618499,119.353469,60.618499,35.538354,0.000000,3.798348,0.044799,71.176261,45.786020,55.646731,50.370833,60.618499,12.928360,13.242100,5.765150,60.618499,4.613287,13.725516,17.199551,13,20
"The Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",79.693185,125.152653,79.693185,16.084496,0.000000,4.180249,0.042071,73.799531,39.992892,89.950360,55.784789,79.693185,3.829638,6.594063,5.101477,79.693185,3.341661,7.824644,4.918191,6,10
"The Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",79.325240,112.875102,79.325240,15.588642,0.000000,5.019584,0.066535,89.168636,74.661011,62.959147,20.252870,79.325240,7.318630,6.757285,1.512727,79.325240,3.541927,6.751474,5.295240,8,7
"The Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",89.073586,153.155918,89.073586,9.416993,0.000000,1.509421,0.000000,90.438687,98.490579,-nan,0.000000,89.073586,1.354984,3.511896,4.093063,89.073586,1.354984,7.588791,0.473218,3,7
"The Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",76.165291,125.498415,76.165291,20.044283,0.000000,3.753024,0.037402,90.131768,73.363138,43.953454,22.846436,76.165291,15.127120,4.277636,0.537914,76.165291,11.902901,4.442091,3.699291,11,13
"The Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",81.378534,121.392510,81.378534,14.712465,0.000000,3.866299,0.042702,87.821133,47.438695,81.635053,48.652304,81.378534,10.499259,4.213206,0.000000,81.378534,3.624606,3.081180,8.006679,5,8
"The Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",90.083456,123.367620,90.083456,6.538075,0.000000,3.323878,0.054590,92.777536,66.142463,94.222397,30.479068,90.083456,2.448762,3.242187,0.847126,90.083456,0.000000,1.633030,4.905046,6,6
"The Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",72.683959,149.394286,72.683959,23.467898,0.000000,3.785032,0.063112,74.712579,50.735422,76.576281,45.416434,72.683959,12.887800,8.196463,2.383635,72.683959,10.979484,7.332234,5.156180,8,9
"The Beatles/02_-_With_the_Beatles/05_-_Little_Child",83.201596,108.016327,83.201596,13.005341,0.000000,3.685369,0.107694,86.481909,96.206937,-nan,0.000000,83.201596,3.883853,7.522348,1.599141,83.201596,3.883853,7.666298,1.455190,5,7
"The Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",76.431196,124.908843,76.431196,19.361007,0.000000,4.166951,0.040846,89.979550,62.851572,60.343818,32.940631,76.431196,10.705252,3.748391,2.101483,76.431196,12.232623,3.785997,3.342387,12,15
"The Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",84.572806,156.734694,84.572806,11.730453,0.000000,3.674605,0.022135,92.922689,68.950351,74.954684,27.352909,84.572806,7.768517,2.926781,1.035156,84.572806,3.427343,3.880165,4.422945,5,6
"The Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",79.081783,167.627755,79.081783,18.148218,0.000000,2.753442,0.016558,81.334755,97.230000,-nan,0.000000,79.081783,3.360856,13.726927,1.060435,79.081783,2.585328,12.838834,2.724055,3,6
"The Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",86.903419,152.581224,86.903419,10.484917,0.000000,2.558431,0.053233,91.785458,85.746493,70.440802,11.641843,86.903419,3.569019,6.467440,0.251842,86.903419,3.507657,5.085765,1.891495,7,9
