MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/mono",89.653308,175.804082,89.594105,6.578239,0.000000,3.768453,0.059203,96.575218,92.771320,0.000000,3.401023,89.594105,3.401023,3.069360,0.107855,89.594105,0.032839,3.177216,3.368184,4,4
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/left",89.653308,175.804082,89.594105,6.578239,0.000000,3.768453,0.059203,96.575218,92.771320,0.000000,3.401023,89.594105,3.401023,3.069360,0.107855,89.594105,0.032839,3.177216,3.368184,4,4
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/right",89.653308,175.804082,89.594105,6.578239,0.000000,3.768453,0.059203,96.575218,92.771320,0.000000,3.401023,89.594105,3.401023,3.069360,0.107855,89.594105,0.032839,3.177216,3.368184,4,4
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/hard_left",62.544503,175.804082,62.485300,33.687044,0.000000,3.768453,0.059203,63.688084,92.771320,100.000000,3.401023,62.485300,7.548991,25.014920,1.123133,62.485300,7.548991,23.052610,3.085442,4,4
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/centre",89.653308,175.804082,89.594105,6.578239,0.000000,3.768453,0.059203,96.575218,92.771320,0.000000,3.401023,89.594105,3.401023,3.069360,0.107855,89.594105,0.032839,3.177216,3.368184,4,4
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/hard_right",82.413929,175.804082,82.354725,13.817618,0.000000,3.768453,0.059203,88.771751,92.771320,0.000000,3.401023,82.354725,4.197364,9.512399,0.107855,82.354725,0.858538,9.542228,3.416853,4,6
"The Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There/sides",78.330011,175.804082,78.270808,17.901536,0.000000,3.768453,0.059203,81.600520,92.771320,75.533982,3.401023,78.270808,4.996238,12.740561,0.164737,78.270808,4.196982,12.279511,1.425043,4,6
"The Beatles/01_-_Please_Please_Me/02_-_Misery/mono",89.213639,110.184490,89.136958,6.836146,0.000000,3.950215,0.076680,93.148194,75.368789,91.885084,20.604316,89.136958,2.238330,4.119156,0.478660,89.136958,1.034463,4.557016,1.244667,4,6
"The Beatles/01_-_Please_Please_Me/02_-_Misery/left",89.213639,110.184490,89.136958,6.836146,0.000000,3.950215,0.076680,93.148194,75.368789,91.885084,20.604316,89.136958,2.238330,4.119156,0.478660,89.136958,1.034463,4.557016,1.244667,4,6
"The Beatles/01_-_Please_Please_Me/02_-_Misery/right",89.213639,110.184490,89.136958,6.836146,0.000000,3.950215,0.076680,93.148194,75.368789,91.885084,20.604316,89.136958,2.238330,4.119156,0.478660,89.136958,1.034463,4.557016,1.244667,4,6
"The Beatles/01_-_Please_Please_Me/02_-_Misery/hard_left",20.680996,110.184490,20.604316,75.368789,0.000000,3.950215,0.076680,0.000000,75.368789,100.000000,20.604316,20.604316,59.338225,0.000000,16.030564,20.604316,0.000000,0.000000,75.368789,4,1
"The Beatles/01_-_Please_Please_Me/02_-_Misery/centre",89.213639,110.184490,89.136958,6.836146,0.000000,3.950215,0.076680,93.148194,75.368789,91.885084,20.604316,89.136958,2.238330,4.119156,0.478660,89.136958,1.034463,4.557016,1.244667,4,6
"The Beatles/01_-_Please_Please_Me/02_-_Misery/hard_right",84.321892,110.184490,84.245212,11.727893,0.000000,3.950215,0.076680,85.147080,75.368789,97.411090,20.604316,84.245212,6.167630,4.886968,0.673294,84.245212,0.000000,5.090125,6.637768,4,6
"The Beatles/01_-_Please_Please_Me/02_-_Misery/sides",78.406809,110.184490,78.330129,17.642976,0.000000,3.950215,0.076680,77.295946,75.368789,97.421873,20.604316,78.330129,11.672971,4.933683,1.036322,78.330129,0.000000,5.201211,12.441765,4,6
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/mono",64.876503,177.580408,64.831223,33.052331,0.000000,2.071167,0.045280,74.416197,69.493225,46.202379,28.390328,64.831223,19.668941,5.255015,2.215561,64.831223,13.750963,3.870773,15.430595,7,15
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/left",64.876503,177.580408,64.831223,33.052331,0.000000,2.071167,0.045280,74.416197,69.493225,46.202379,28.390328,64.831223,19.668941,5.255015,2.215561,64.831223,13.750963,3.870773,15.430595,7,15
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/right",64.876503,177.580408,64.831223,33.052331,0.000000,2.071167,0.045280,74.416197,69.493225,46.202379,28.390328,64.831223,19.668941,5.255015,2.215561,64.831223,13.750963,3.870773,15.430595,7,15
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/hard_left",39.703321,177.580408,39.658041,58.225513,0.000000,2.071167,0.045280,57.067492,69.493225,0.000000,28.390328,39.658041,27.250484,29.037622,1.937406,39.658041,3.237851,21.838807,33.148855,7,2
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/centre",64.876503,177.580408,64.831223,33.052331,0.000000,2.071167,0.045280,74.416197,69.493225,46.202379,28.390328,64.831223,19.668941,5.255015,2.215561,64.831223,13.750963,3.870773,15.430595,7,15
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/hard_right",62.232243,177.580408,62.186963,35.696590,0.000000,2.071167,0.045280,70.633603,69.493225,46.147385,28.390328,62.186963,24.307507,6.977334,3.060249,62.186963,15.515843,6.968616,13.212132,7,13
"The Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)/sides",59.307094,177.580408,59.261814,38.621740,0.000000,2.071167,0.045280,71.888469,69.493225,32.772422,28.390328,59.261814,27.144810,7.589172,3.099382,59.261814,14.175348,8.021238,16.425153,7,14
"The Beatles/01_-_Please_Please_Me/04_-_Chains/mono",83.879443,146.494694,83.814803,11.283185,0.000000,4.837372,0.064640,88.619535,94.578247,0.000000,0.519740,83.814803,4.312553,6.255569,0.715062,83.814803,4.312553,5.712067,1.258564,4,6
"The Beatles/01_-_Please_Please_Me/04_-_Chains/left",83.879443,146.494694,83.814803,11.283185,0.000000,4.837372,0.064640,88.619535,94.578247,0.000000,0.519740,83.814803,4.312553,6.255569,0.715062,83.814803,4.312553,5.712067,1.258564,4,6
