MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",78.985602,197.812000,78.985602,18.432148,0.000000,2.575678,0.006572,81.003615,64.887873,81.230186,32.529877,78.985602,10.294118,5.691262,2.446768,78.985602,7.537460,4.716600,6.178088,15,14
"N002-M01-T02",66.719757,209.704000,66.719757,25.987106,0.000000,7.289799,0.003338,85.493465,60.126655,47.008284,32.580208,66.719757,10.548678,14.016423,1.422004,66.719757,0.000000,12.617308,13.369797,6,7
"N003-M01-T03",65.589295,192.289000,65.589295,30.048521,0.000000,4.330981,0.031203,75.321275,54.226711,59.754612,41.411105,65.589295,16.186573,8.190276,5.671671,65.589295,7.564655,9.461280,13.022586,20,19
"N004-M01-T04",53.037885,192.634000,53.037885,44.190537,0.000000,2.767943,0.003634,62.382334,32.206153,50.670233,65.022270,53.037885,31.485096,8.375988,4.329454,53.037885,5.014691,6.981634,32.194213,12,10
"N005-M01-T05",86.430018,206.861000,86.430018,10.839646,0.000000,2.726952,0.003384,88.856308,47.974244,88.855874,49.295421,86.430018,4.354615,2.015363,4.333828,86.430018,3.044556,3.121903,4.673186,10,13
"N006-M01-T06",66.669894,206.573000,66.669894,29.138852,0.000000,4.155916,0.035339,71.238883,90.086797,43.570220,5.721948,66.669894,4.343259,16.968820,6.858592,66.669894,1.114376,10.152827,17.871648,7,12
"N007-M01-T07",87.150567,284.962000,87.150567,10.245226,0.000000,2.576133,0.028074,86.220392,37.838729,91.552308,59.557064,87.150567,3.862620,3.012682,3.369923,87.150567,2.658249,4.894688,2.692289,14,12
"N008-M01-T08",90.745045,178.996000,90.745045,6.163825,0.000000,3.042526,0.048604,93.680370,71.208295,93.526509,25.700574,90.745045,1.052537,4.090594,1.020693,90.745045,0.231290,3.005654,2.926881,8,9
"N009-M01-T09",85.854361,265.877000,85.854361,8.070649,0.000000,6.059945,0.015045,94.186502,47.008579,88.622735,46.916431,85.854361,2.970923,2.815212,2.270975,85.854361,0.730037,2.471820,4.868793,15,16
"N010-M01-T10",85.370539,211.867000,85.370539,7.202632,0.000000,7.382934,0.043895,95.339085,62.916830,85.601286,29.656341,85.370539,3.099114,2.061671,2.041847,85.370539,0.000000,2.961292,4.241340,8,9
"N011-M01-T11",71.730607,263.971000,71.730607,25.763436,0.000000,2.498381,0.007577,81.013397,66.166359,57.862533,31.327684,71.730607,20.394665,3.890200,0.872444,71.730607,2.984419,4.094768,18.684249,9,9
"N012-M01-T12",87.331872,193.825000,87.331872,10.944409,0.000000,1.689153,0.034567,83.419359,57.574616,96.564837,40.701664,87.331872,2.180833,6.549207,0.818264,87.331872,0.164581,1.281568,9.498259,12,13
"N013-M01-T13",86.657853,215.565000,86.657853,10.702572,0.000000,2.596433,0.043142,87.025360,71.433210,94.467704,25.927215,86.657853,4.939577,3.742723,2.020272,86.657853,0.457867,3.299237,6.945469,8,9
"N014-M01-T14",85.422670,234.947000,85.422670,9.738367,0.000000,4.818959,0.020005,89.807402,63.690109,89.683527,31.470927,85.422670,4.632960,3.485893,1.619514,85.422670,0.000000,3.133473,6.604894,6,6
"N015-M01-T15",82.053864,162.893000,82.053864,12.794902,0.000000,5.094142,0.057093,86.406506,77.067768,86.959674,17.780997,82.053864,5.367327,2.883488,4.544087,82.053864,1.249900,5.254983,6.290019,10,11
"N016-M01-T16",67.800127,262.147000,67.800127,27.725665,0.000000,4.456278,0.017929,75.271731,48.572747,66.531531,46.953045,67.800127,19.708789,6.150366,1.866510,67.800127,5.083789,2.370044,20.271832,11,11
"N017-M02-T01",83.255881,241.440000,83.255881,14.268555,0.000000,2.458996,0.016567,86.122227,48.748757,84.616691,48.775679,83.255881,6.532058,6.245444,1.491054,83.255881,0.502816,4.678595,9.087144,12,12
"N018-M02-T02",78.211869,249.333000,78.211869,19.455507,0.000000,2.329816,0.002807,78.553849,75.124833,85.165285,22.542544,78.211869,4.396530,8.308968,6.228618,78.211869,0.000000,13.574617,5.880890,16,17
"N019-M02-T03",73.658740,287.230000,73.658740,23.883995,0.000000,2.443338,0.013926,83.206919,56.917453,64.736734,40.625283,73.658740,14.046583,5.756711,4.080702,73.658740,0.000000,6.144901,17.739094,13,13
"N020-M02-T04",81.352282,226.580000,81.352282,16.455115,0.000000,2.171860,0.020743,82.666960,64.089505,84.143564,33.717892,81.352282,4.597493,6.534116,5.029129,81.352282,0.033542,5.382205,11.039368,10,12
"N021-M02-T05",75.488870,257.993000,75.488870,20.090468,0.000000,4.397406,0.023256,85.813585,63.625757,65.373978,31.953580,75.488870,12.741043,5.501312,1.848112,75.488870,0.000000,5.680387,14.410081,7,7
"N022-M02-T06",83.346697,209.520000,83.346697,11.761646,0.000000,4.882111,0.009546,89.806844,85.495418,68.303461,9.612925,83.346697,3.131443,5.047251,3.109488,83.346697,2.909985,5.860061,2.991600,16,19
"N023-M02-T07",88.854151,201.187000,88.854151,8.815679,0.000000,2.286927,0.043243,90.438692,86.789902,95.244187,10.879928,88.854151,1.381799,2.075681,5.358199,88.854151,0.546755,6.992002,1.276921,11,12
"N024-M02-T08",66.266319,207.736000,66.266319,31.773020,0.000000,1.935148,0.025513,76.568191,83.003427,18.037458,15.035911,66.266319,13.553741,8.629222,9.590057,66.266319,2.386683,14.808700,14.577637,8,8
"N025-M02-T09",34.552085,231.439000,34.552085,63.365725,0.000000,2.053241,0.028949,47.287039,23.109329,31.579799,74.808481,34.552085,23.723314,10.092940,15.137034,34.552085,4.749416,7.131469,51.484840,11,15
"N026-M02-T10",77.523253,199.762000,77.523253,19.806069,0.000000,2.644147,0.026532,78.482880,91.261601,97.211451,6.067721,77.523253,6.482714,12.833772,0.489583,77.523253,1.994373,13.042521,4.769175,6,10
"N027-M02-T11",65.959908,291.330000,65.959908,25.948924,0.000000,8.077438,0.013730,76.217991,65.346858,60.815683,26.561974,65.959908,14.076820,7.903409,3.876360,65.959908,0.502180,7.182233,18.264511,10,14
"N028-M02-T12",57.678949,217.660000,57.678949,38.799504,0.000000,3.481577,0.039971,55.386078,58.946522,66.691965,37.531931,57.678949,25.785170,9.500597,3.146191,57.678949,6.916751,8.086006,23.796747,10,13
"N029-M02-T13",79.484813,206.954000,79.484813,18.054737,0.000000,2.415513,0.044938,88.227019,52.206771,73.731054,45.332779,79.484813,9.540284,7.067754,1.443316,79.484813,0.036240,6.015346,12.003150,9,10
"N030-M02-T14",54.174207,151.406000,54.174207,41.890678,0.000000,3.873691,0.061424,80.875313,37.667596,40.601920,58.397289,54.174207,29.928801,5.281825,6.680052,54.174207,0.462333,8.501645,32.926700,6,9
"N031-M02-T15",57.299181,250.213000,57.299181,42.672443,0.005196,0.023180,0.000000,57.342981,98.483692,55.299786,1.493128,57.299181,18.309600,18.478257,5.644791,57.299181,18.309600,15.474016,8.888827,3,11
"N032-M02-T16",76.760156,252.080000,76.760156,22.266741,0.000000,0.941368,0.031736,84.074419,83.925341,41.058107,15.101555,76.760156,13.711123,6.839495,1.716122,76.760156,11.943827,6.889876,3.433037,9,10
"N033-M03-T01",67.024839,287.013000,67.024839,29.026211,0.000000,3.944421,0.004529,55.395411,57.895984,91.608072,38.155066,67.024839,8.389864,1.021557,19.614791,67.024839,1.451851,8.997502,18.576859,8,11
"N034-M03-T02",77.866500,207.640000,77.866500,19.457234,0.000000,2.657003,0.019264,90.912976,41.694279,71.834229,55.629455,77.866500,11.603256,5.520131,2.333847,77.866500,1.736660,5.743595,11.976979,13,15
"N035-M03-T03",81.825351,174.980000,81.825351,15.229169,0.000000,2.930049,0.015430,83.080239,57.805463,86.117825,39.249057,81.825351,12.076237,1.996800,1.156132,81.825351,0.510916,1.604183,13.114070,9,9
"N036-M03-T04",80.342637,316.253000,80.342637,17.073672,0.000000,2.566932,0.016759,79.060267,73.379857,92.893601,24.036452,80.342637,5.335918,4.643434,7.094320,80.342637,0.000000,9.352639,7.721033,10,14
"N037-M03-T05",70.151465,234.179000,70.151465,28.321498,0.000000,1.524048,0.002989,72.643230,53.858800,69.544493,44.614163,70.151465,13.464914,6.360519,8.239851,70.151465,8.806084,9.254459,10.260954,10,12
"N038-M03-T06",73.183224,273.534000,73.183224,21.514693,0.000000,5.290019,0.012064,91.923375,54.199844,57.683975,40.498073,73.183224,13.118662,3.232139,5.163892,73.183224,11.619762,3.961482,5.933449,9,12
"N039-M03-T07",86.346331,283.931000,86.346331,12.444573,0.000000,1.190430,0.018667,90.805588,64.188835,81.091342,34.602069,86.346331,7.777594,2.704883,1.962096,86.346331,1.638074,3.991815,6.814684,15,15
"N040-M03-T08",69.922556,224.291000,69.922556,27.883865,0.000000,2.169949,0.023630,69.161641,89.897499,97.964936,7.908922,69.922556,1.112840,24.022810,2.748215,69.922556,0.015159,26.136581,1.732125,10,11
"N041-M03-T09",91.166557,57.554000,91.166557,2.679223,0.000000,6.096883,0.057337,97.851351,77.144942,93.882647,16.700837,91.166557,0.000000,0.976474,1.702749,91.166557,0.000000,1.548111,1.131112,4,5
"N042-M03-T10",60.213664,246.836000,60.213664,37.256316,0.000000,2.505712,0.024308,65.650946,80.170234,43.822303,17.299746,60.213664,14.125978,11.427020,11.703317,60.213664,5.235865,20.389246,11.631205,13,15
"N043-M03-T11",81.338697,202.585000,81.338697,14.956191,0.000000,3.701656,0.003455,86.588638,87.933460,62.170140,8.361429,81.338697,5.991065,3.366982,5.598144,81.338697,1.759755,8.339216,4.857220,11,11
"N044-M03-T12",82.492768,240.255000,82.492768,14.368483,0.000000,3.105450,0.033298,86.366633,60.613931,83.158028,36.247321,82.492768,6.391126,6.192587,1.784770,82.492768,0.000000,6.426505,7.941978,6,6
"N045-M03-T13",83.288109,217.067000,83.288109,14.319081,0.000000,2.377607,0.015203,90.810461,72.610761,69.409683,24.996430,83.288109,7.195474,4.694403,2.429204,83.288109,4.606873,6.081532,3.630676,9,9
"N046-M03-T14",85.393247,194.280000,85.393247,11.483941,0.000000,3.116121,0.006691,89.779392,64.326230,84.917774,32.550957,85.393247,4.378217,4.888820,0.827157,85.393247,0.946572,3.521721,7.015648,11,12
"N047-M03-T15",88.571195,208.097000,88.571195,8.442697,0.000000,2.963522,0.022586,90.039945,81.084302,97.698271,15.929591,88.571195,3.113932,2.975535,1.392139,88.571195,0.000000,3.493563,4.949134,7,8
"N048-M03-T16",70.522510,265.277000,70.522510,28.046909,0.000000,1.397784,0.032796,75.211239,73.389325,60.863512,25.180095,70.522510,18.058105,7.244880,1.439250,70.522510,1.015919,7.128398,19.902592,10,12
"N049-M04-T01",66.825858,251.060000,66.825858,29.590934,0.000000,3.562097,0.021110,69.714600,57.918426,68.699692,38.498367,66.825858,17.551980,9.251972,2.786983,66.825858,0.857166,8.037123,20.696646,13,14
"N050-M04-T02",78.130126,193.243000,78.130126,18.112946,0.000000,3.705179,0.051748,86.721531,73.695296,63.068025,22.547777,78.130126,6.885114,7.201296,2.821836,78.130126,0.727581,6.862862,10.522503,10,11
"N051-M04-T03",90.707780,353.231000,90.707780,8.119616,0.000000,1.155618,0.016986,92.689713,73.975104,89.088237,24.852292,90.707780,3.766374,2.787411,1.545731,90.707780,1.159864,3.503656,3.456095,7,9
"N052-M04-T04",63.119413,215.002000,63.119413,34.548516,0.000000,2.307420,0.024651,55.718758,48.733500,73.497766,48.934429,63.119413,14.578934,16.826820,3.106483,63.119413,0.431159,14.988233,19.129124,9,9
"N053-M04-T05",81.630137,219.773000,81.630137,16.834643,0.000000,1.502004,0.033216,81.471319,62.847120,85.428856,35.617660,81.630137,7.474076,8.976535,0.384033,81.630137,0.816297,2.157681,13.860665,13,14
"N054-M04-T06",87.438543,222.920000,87.438543,10.828548,0.000000,1.723937,0.008972,86.294167,67.567737,94.892964,30.699354,87.438543,1.118787,4.371972,4.664902,87.438543,0.011215,7.547102,3.270231,8,7
"N055-M04-T07",90.449582,234.974000,90.449582,7.845974,0.000000,1.673377,0.031067,95.040211,73.080851,83.258507,25.214705,90.449582,3.484641,3.303344,1.012878,90.449582,0.904781,3.325049,3.616145,9,11
"N056-M04-T08",93.239410,322.960000,93.239410,5.030035,0.000000,1.711977,0.018578,94.755779,92.255078,96.808072,6.014367,93.239410,0.492631,3.311246,1.226158,93.239410,0.309636,4.374845,0.345554,5,7
"N057-M04-T09",81.335619,252.572000,81.335619,16.562010,0.000000,2.073468,0.028903,82.354136,74.061258,85.344828,23.836371,81.335619,3.082685,6.814690,6.664634,81.335619,1.837892,11.558684,3.165434,9,10
"N058-M04-T10",71.127636,179.393000,71.127636,21.859827,0.000000,6.979091,0.033446,67.145892,59.555836,93.140361,33.431628,71.127636,4.240411,15.923698,1.646664,71.127636,0.652757,15.595926,5.611144,10,13
"N059-M04-T11",79.946638,205.013000,79.946638,17.995932,0.000000,2.051089,0.006341,93.856462,34.505617,74.973473,63.436953,79.946638,11.012960,3.151020,3.831952,79.946638,5.024559,3.254428,9.716945,9,10
"N060-M04-T12",86.608192,230.529000,86.608192,9.831301,0.000000,3.557470,0.003036,87.386267,63.504375,94.470859,32.935119,86.608192,3.052544,5.686486,1.092270,86.608192,2.500770,4.727388,2.603143,9,11
"N061-M04-T13",56.952253,283.160000,56.952253,43.010665,0.021189,0.015892,0.000000,71.463912,17.844681,53.810633,82.139426,56.952253,32.557565,5.149386,5.303715,56.952253,1.052762,8.265998,33.691906,5,8
"N062-M04-T14",91.909285,187.709000,91.909285,5.291169,0.000000,2.795817,0.003729,94.794308,87.386327,92.438389,9.814127,91.909285,1.188542,3.667912,0.434715,91.909285,0.319644,2.809135,2.162390,7,7
"N063-M04-T15",82.023769,246.965000,82.023769,13.696678,0.000000,4.239062,0.040492,88.390646,61.312737,80.880259,34.407710,82.023769,4.324904,4.511570,4.860203,82.023769,0.000000,7.132995,6.563683,10,10
"N064-M04-T16",79.059499,270.409000,79.059499,20.073666,0.000000,0.842058,0.024777,89.319018,51.633636,69.349828,47.499528,79.059499,13.038028,3.985444,3.050194,79.059499,0.000000,5.092286,14.981380,9,9
"N065-M05-T01",73.490373,227.374000,73.490373,24.582846,0.000000,1.903472,0.023310,74.815675,69.671994,75.224925,28.401224,73.490373,15.723434,6.401348,2.348553,73.490373,0.689173,7.490742,16.402931,17,17
"N066-M05-T02",70.884593,272.306000,70.884593,26.300192,0.000000,2.778492,0.036723,74.146266,64.339750,70.571004,32.845035,70.884593,10.945407,10.592128,3.574288,70.884593,2.597813,8.858784,14.843595,15,16
"N067-M05-T03",72.952981,241.180000,72.952981,24.881416,0.000000,2.127042,0.038560,78.162988,40.555187,72.022353,57.279211,72.952981,11.348785,8.240318,5.292313,72.952981,1.135666,8.444730,15.301020,14,13
"N068-M05-T04",83.593374,288.993000,83.593374,14.776136,0.000000,1.612150,0.018340,86.568561,69.507566,81.150715,28.861945,83.593374,6.798089,5.527816,2.450232,83.593374,0.125955,5.408782,9.241400,16,16
"N069-M05-T05",85.200018,315.372000,85.200018,13.479003,0.000000,1.301955,0.019025,87.750727,64.640171,83.662633,34.038849,85.200018,6.339180,4.671943,1.986543,85.200018,1.472864,4.702383,7.303756,18,21
"N070-M05-T06",79.162421,242.413000,79.162421,18.497358,0.000000,2.331971,0.008250,83.111976,86.035815,65.866988,11.623964,79.162421,4.372290,11.458131,2.666936,79.162421,0.448821,12.957638,5.090899,8,8
"N071-M05-T07",73.625114,259.167000,73.625114,24.917138,0.000000,1.436525,0.021222,78.477126,79.289802,59.217172,19.252451,73.625114,13.428407,5.459414,4.365139,73.625114,2.996523,8.624941,13.295674,20,22
"N072-M05-T08",77.399127,181.962000,77.399127,20.579572,0.000000,1.981183,0.040118,81.557655,65.680197,73.786391,32.298502,77.399127,11.029775,6.805267,2.659346,77.399127,0.299513,4.724063,15.555995,20,20
"N073-M05-T09",53.511282,129.326000,53.511282,43.674899,0.000000,2.751960,0.061859,65.946969,49.457959,43.779668,47.728222,53.511282,23.747738,11.866137,8.061024,53.511282,10.957580,12.415910,20.301409,12,13
"N074-M05-T10",90.922490,187.937000,90.922490,7.124196,0.000000,1.949589,0.003725,92.548172,72.846752,93.270693,25.199934,90.922490,1.555308,3.783715,1.617563,90.922490,0.181976,3.424552,3.517668,7,9
"N075-M05-T11",73.626846,188.362000,73.626846,24.361071,0.000000,1.973328,0.038755,77.364279,70.771706,69.351409,27.216211,73.626846,17.154734,5.457576,1.748760,73.626846,0.033977,3.860120,20.466973,14,14
"N076-M05-T12",82.776136,175.611000,82.776136,14.576536,0.000000,2.594371,0.052958,83.018481,74.996441,91.765155,22.356231,82.776136,5.901111,3.287949,4.950145,82.776136,0.000000,2.449733,12.126803,9,11
"N077-M05-T13",72.043042,205.938000,72.043042,25.982092,0.000000,1.939419,0.035448,83.202515,63.782789,55.411384,34.242345,72.043042,13.233595,8.773029,2.796958,72.043042,0.336023,7.510998,18.135070,14,15
"N078-M05-T14",83.365865,243.866000,83.365865,15.114038,0.000000,1.503695,0.016402,89.519655,38.919325,81.472378,59.560578,83.365865,4.940008,7.110872,3.063158,83.365865,4.408569,6.269017,4.436453,7,9
"N079-M05-T15",86.178015,228.520000,86.178015,11.704884,0.000000,2.085157,0.031945,91.556173,51.617364,84.121219,46.265535,86.178015,8.839926,1.812533,1.052424,86.178015,0.586382,2.060214,9.058288,13,14
"N080-M05-T16",47.622166,198.500000,47.622166,51.412091,0.000000,0.918892,0.046851,58.644183,62.408564,30.096834,36.625693,47.622166,41.314358,5.350126,2.639295,47.622166,0.890680,6.046348,44.475063,15,19
"N081-M06-T01",75.936084,226.796000,75.936084,20.794899,0.000000,3.263285,0.005732,86.238774,63.579164,63.665261,33.151819,75.936084,12.225524,4.054304,3.280040,75.936084,0.000000,3.541068,17.253832,9,9
"N082-M06-T02",83.786013,328.599000,83.786013,14.469916,0.000000,1.719725,0.024346,83.465119,85.056254,96.924425,13.199675,83.786013,4.213951,8.679576,1.576389,83.786013,0.727939,9.122974,4.619004,8,7
"N083-M06-T03",65.809237,193.874000,65.809237,32.375151,0.000000,1.808907,0.006705,79.085234,77.169708,22.743115,21.014680,65.809237,8.892889,12.104253,10.036931,65.809237,4.067074,13.879633,14.428443,10,10
"N084-M06-T04",80.989359,203.081000,80.989359,15.552415,0.000000,3.444931,0.013295,85.220934,89.429833,67.160562,7.111941,80.989359,3.164255,10.994628,1.393533,80.989359,0.000000,12.082863,3.469552,6,7
"N085-M06-T05",91.326058,200.670000,91.326058,6.542582,0.000000,2.085015,0.046345,93.626275,91.781532,88.620549,6.087108,91.326058,1.677879,4.372353,0.492351,91.326058,0.000000,4.864703,1.677879,9,9
"N086-M06-T06",85.307756,248.866000,85.307756,12.953959,0.000000,1.716988,0.021297,85.523928,83.017769,93.858239,15.243947,85.307756,4.732667,4.380671,3.840621,85.307756,0.882403,5.631545,6.440012,10,9
"N087-M06-T07",76.698482,244.954000,76.698482,21.326861,0.000000,1.947304,0.027352,80.604989,72.512798,71.531667,25.512545,76.698482,6.159116,10.683639,1.830548,76.698482,0.549491,8.372184,12.405186,12,12
"N088-M06-T08",81.134095,237.264000,81.134095,15.894110,0.000000,2.946507,0.025288,84.853784,79.053291,78.188895,17.974914,81.134095,4.275406,8.261262,3.357441,81.134095,0.722402,9.730933,5.440775,12,12
"N089-M06-T09",79.505790,218.652000,79.505790,17.111666,0.000000,3.336809,0.045735,84.810392,85.206172,63.464390,11.411284,79.505790,7.362841,9.432340,0.307338,79.505790,2.547427,8.849679,5.714560,10,14
