4TriadsOutput
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)","aug correct (%)","aug proportion (%)","dim correct (%)","dim proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",75.626213,206.599000,75.626213,21.901364,0.000000,2.466130,0.006292,81.003615,62.128084,81.230186,31.146327,nan,0.000000,0.000000,4.253167,75.626213,14.032498,5.449204,2.419663,75.626213,7.700909,4.515995,9.684461,16,15
"N002-M01-T02",66.719757,209.704000,66.719757,25.987106,0.000000,7.289799,0.003338,85.493465,60.126655,47.008284,32.580208,nan,0.000000,nan,0.000000,66.719757,10.548678,14.016423,1.422004,66.719757,0.000000,12.617308,13.369797,6,7
"N003-M01-T03",65.399853,192.846000,65.399853,30.250563,0.000000,4.318472,0.031113,75.321275,54.070087,59.754612,41.291497,0.000000,0.288832,nan,0.000000,65.399853,16.366427,8.166620,5.717516,65.399853,7.769412,9.433952,13.047198,21,19
"N004-M01-T04",46.641778,231.700000,46.641778,51.053949,0.000000,2.301252,0.003021,62.382334,26.776003,50.670233,54.059128,0.000000,6.025032,23.500358,10.835563,46.641778,38.361243,8.986621,3.706085,46.641778,10.159258,5.804489,35.090203,16,11
"N005-M01-T05",83.565082,213.953000,83.565082,13.795086,0.000000,2.636560,0.003272,88.856308,46.384019,88.855874,47.661402,nan,0.000000,0.000000,3.314747,83.565082,7.511463,1.955570,4.328053,83.565082,2.943637,3.018420,7.833029,11,13
"N006-M01-T06",66.669894,206.573000,66.669894,29.138852,0.000000,4.155916,0.035339,71.238883,90.086797,43.570220,5.721948,nan,0.000000,nan,0.000000,66.669894,5.311440,16.968820,6.858592,66.669894,1.114376,10.152827,17.871648,7,12
"N007-M01-T07",85.966783,288.886000,85.966783,11.464384,0.000000,2.541141,0.027693,86.220392,37.324758,91.552308,58.748087,nan,0.000000,0.000000,1.358321,85.966783,3.810153,3.378495,4.275735,85.966783,2.622142,5.451285,3.390957,15,13
"N008-M01-T08",90.745045,178.996000,90.745045,6.163825,0.000000,3.042526,0.048604,93.680370,71.208295,93.526509,25.700574,nan,0.000000,nan,0.000000,90.745045,1.052537,4.090594,1.020693,90.745045,0.231290,3.005654,2.926881,8,9
"N009-M01-T09",82.901387,276.192000,82.901387,11.250507,0.000000,5.833623,0.014483,94.186502,45.252940,88.622735,45.164234,nan,0.000000,6.786234,3.734721,82.901387,6.339793,2.710071,2.200643,82.901387,0.702772,2.619917,7.927818,17,17
"N010-M01-T10",85.370539,211.867000,85.370539,7.202632,0.000000,7.382934,0.043895,95.339085,62.916830,85.601286,29.656341,nan,0.000000,nan,0.000000,85.370539,3.099114,2.061671,2.041847,85.370539,0.000000,2.961292,4.241340,8,9
"N011-M01-T11",71.730607,263.971000,71.730607,25.763436,0.000000,2.498381,0.007577,81.013397,66.166359,57.862533,31.327684,nan,0.000000,nan,0.000000,71.730607,21.000792,3.890200,0.872444,71.730607,2.984419,4.094768,18.684249,9,9
"N012-M01-T12",82.624825,204.867000,82.624825,15.744361,0.000000,1.598110,0.032704,83.419359,54.471438,96.564837,38.507910,nan,0.000000,0.000000,5.389838,82.624825,7.386255,7.520001,0.838105,82.624825,2.105268,3.162051,10.477041,14,13
"N013-M01-T13",86.657853,215.565000,86.657853,10.702572,0.000000,2.596433,0.043142,87.025360,71.433210,94.467704,25.927215,nan,0.000000,nan,0.000000,86.657853,4.939577,3.742723,2.020272,86.657853,0.457867,3.299237,6.945469,8,9
"N014-M01-T14",85.422670,234.947000,85.422670,9.738367,0.000000,4.818959,0.020005,89.807402,63.690109,89.683527,31.470927,nan,0.000000,nan,0.000000,85.422670,4.632960,3.485893,1.619514,85.422670,0.000000,3.133473,6.604894,6,6
"N015-M01-T15",82.053864,162.893000,82.053864,12.794902,0.000000,5.094142,0.057093,86.406506,77.067768,86.959674,17.780997,nan,0.000000,nan,0.000000,82.053864,5.367327,2.883488,4.544087,82.053864,1.249900,5.254983,6.290019,10,11
"N016-M01-T16",67.800127,262.147000,67.800127,27.725665,0.000000,4.456278,0.017929,75.271731,48.572747,66.531531,46.953045,nan,0.000000,nan,0.000000,67.800127,19.708789,6.150366,1.866510,67.800127,5.083789,2.370044,20.271832,11,11
"N017-M02-T01",83.255881,241.440000,83.255881,14.268555,0.000000,2.458996,0.016567,86.122227,48.748757,84.616691,48.775679,nan,0.000000,nan,0.000000,83.255881,6.532058,6.245444,1.491054,83.255881,0.502816,4.678595,9.087144,12,12
"N018-M02-T02",77.869265,250.430000,77.869265,19.808330,0.000000,2.319610,0.002795,78.553849,74.795751,85.165285,22.443797,nan,0.000000,0.000000,0.438047,77.869265,5.310067,8.280158,6.218105,77.869265,0.000000,13.515154,6.293176,17,17
"N019-M02-T03",73.658740,287.230000,73.658740,23.883995,0.000000,2.443338,0.013926,83.206919,56.917453,64.736734,40.625283,nan,0.000000,nan,0.000000,73.658740,14.046583,5.756711,4.080702,73.658740,0.000000,6.144901,17.739094,13,13
"N020-M02-T04",78.979176,243.901000,78.979176,18.983932,0.000000,2.017622,0.019270,82.666960,59.538091,84.143564,31.323365,0.000000,0.371052,50.578704,6.730600,78.979176,7.469424,6.166436,5.348072,78.979176,1.058216,5.955285,11.970431,15,12
"N021-M02-T05",75.488870,257.993000,75.488870,20.090468,0.000000,4.397406,0.023256,85.813585,63.625757,65.373978,31.953580,nan,0.000000,nan,0.000000,75.488870,12.741043,5.501312,1.848112,75.488870,0.000000,5.680387,14.410081,7,7
"N022-M02-T06",83.346697,209.520000,83.346697,11.761646,0.000000,4.882111,0.009546,89.806844,85.495418,68.303461,9.612925,nan,0.000000,nan,0.000000,83.346697,3.604906,5.047251,3.109488,83.346697,2.909985,5.860061,2.991600,16,19
"N023-M02-T07",88.854151,201.187000,88.854151,8.815679,0.000000,2.286927,0.043243,90.438692,86.789902,95.244187,10.879928,nan,0.000000,nan,0.000000,88.854151,1.381799,2.075681,5.358199,88.854151,0.546755,6.992002,1.276921,11,12
"N024-M02-T08",66.266319,207.736000,66.266319,31.773020,0.000000,1.935148,0.025513,76.568191,83.003427,18.037458,15.035911,nan,0.000000,nan,0.000000,66.266319,13.553741,8.629222,9.590057,66.266319,2.386683,14.808700,14.577637,8,8
